# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000f00   ---        --------
               6   E   00000f00   00000000   00000b00   mstatus    00001800
               6   E   00000f00   00000000   00000b00   mepc       00000f00
               6   E   00000f00   00000000   00000b00   mcause     00000002
               6   E   00000f00   00000000   00000b00   mtval      00000000
               9   N   00000b00   000047a1   00000b04   x14_a4     00000002
              10   N   00000b04   04f70863   00000b06   x15_a5     00000008
              11   N   00000b06   000047a5   00000b0a   ---        --------
              12   N   00000b0a   04f70563   00000b0c   x15_a5     00000009
              13   N   00000b0c   000047ad   00000b10   ---        --------
              14   N   00000b10   04f70263   00000b12   x15_a5     0000000b
              15   N   00000b12   00004789   00000b16   ---        --------
              16   N   00000b16   00f70d63   00000b18   x15_a5     00000002
              17   N   00000b18   00001717   00000b32   ---        --------
              21   N   00000b32   00000897   00000b36   x16_a6     f0000000
              23   N   00000b36   f0008893   00000b3a   x17_a7     00000b36
              25   N   00000b3a   00008783   00000b3e   x17_a7     00001300
              28   N   00000b3e   00079463   00000b42   x15_a5     00000049
              29   N   00000b42   0008006f   00000b4a   ---        --------
              34   N   00000b4a   00000885   00000b4e   ---        --------
              35   N   00000b4e   fefff06f   00000b50   x17_a7     00001301
              36   N   00000b50   00004505   00000b3e   ---        --------
              41   N   00000b3e   00079463   00000b42   x15_a5     0000006c
              42   N   00000b42   0008006f   00000b4a   ---        --------
              47   N   00000b4a   00000885   00000b4e   ---        --------
              48   N   00000b4e   fefff06f   00000b50   x17_a7     00001302
              49   N   00000b50   00004505   00000b3e   ---        --------
              54   N   00000b3e   00079463   00000b42   x15_a5     0000006c
              55   N   00000b42   0008006f   00000b4a   ---        --------
              60   N   00000b4a   00000885   00000b4e   ---        --------
              61   N   00000b4e   fefff06f   00000b50   x17_a7     00001303
              62   N   00000b50   00004505   00000b3e   ---        --------
              67   N   00000b3e   00079463   00000b42   x15_a5     00000065
              68   N   00000b42   0008006f   00000b4a   ---        --------
              73   N   00000b4a   00000885   00000b4e   ---        --------
              74   N   00000b4e   fefff06f   00000b50   x17_a7     00001304
              75   N   00000b50   00004505   00000b3e   ---        --------
              80   N   00000b3e   00079463   00000b42   x15_a5     00000067
              81   N   00000b42   0008006f   00000b4a   ---        --------
              86   N   00000b4a   00000885   00000b4e   ---        --------
              87   N   00000b4e   fefff06f   00000b50   x17_a7     00001305
              88   N   00000b50   00004505   00000b3e   ---        --------
              93   N   00000b3e   00079463   00000b42   x15_a5     00000061
              94   N   00000b42   0008006f   00000b4a   ---        --------
              99   N   00000b4a   00000885   00000b4e   ---        --------
             100   N   00000b4e   fefff06f   00000b50   x17_a7     00001306
             101   N   00000b50   00004505   00000b3e   ---        --------
             106   N   00000b3e   00079463   00000b42   x15_a5     0000006c
             107   N   00000b42   0008006f   00000b4a   ---        --------
             112   N   00000b4a   00000885   00000b4e   ---        --------
             113   N   00000b4e   fefff06f   00000b50   x17_a7     00001307
             114   N   00000b50   00004505   00000b3e   ---        --------
             119   N   00000b3e   00079463   00000b42   x15_a5     00000020
             120   N   00000b42   0008006f   00000b4a   ---        --------
             125   N   00000b4a   00000885   00000b4e   ---        --------
             126   N   00000b4e   fefff06f   00000b50   x17_a7     00001308
             127   N   00000b50   00004505   00000b3e   ---        --------
             132   N   00000b3e   00079463   00000b42   x15_a5     00000049
             133   N   00000b42   0008006f   00000b4a   ---        --------
             138   N   00000b4a   00000885   00000b4e   ---        --------
             139   N   00000b4e   fefff06f   00000b50   x17_a7     00001309
             140   N   00000b50   00004505   00000b3e   ---        --------
             145   N   00000b3e   00079463   00000b42   x15_a5     0000006e
             146   N   00000b42   0008006f   00000b4a   ---        --------
             151   N   00000b4a   00000885   00000b4e   ---        --------
             152   N   00000b4e   fefff06f   00000b50   x17_a7     0000130a
             153   N   00000b50   00004505   00000b3e   ---        --------
             158   N   00000b3e   00079463   00000b42   x15_a5     00000073
             159   N   00000b42   0008006f   00000b4a   ---        --------
             164   N   00000b4a   00000885   00000b4e   ---        --------
             165   N   00000b4e   fefff06f   00000b50   x17_a7     0000130b
             166   N   00000b50   00004505   00000b3e   ---        --------
             171   N   00000b3e   00079463   00000b42   x15_a5     00000074
             172   N   00000b42   0008006f   00000b4a   ---        --------
             177   N   00000b4a   00000885   00000b4e   ---        --------
             178   N   00000b4e   fefff06f   00000b50   x17_a7     0000130c
             179   N   00000b50   00004505   00000b3e   ---        --------
             184   N   00000b3e   00079463   00000b42   x15_a5     00000075
             185   N   00000b42   0008006f   00000b4a   ---        --------
             190   N   00000b4a   00000885   00000b4e   ---        --------
             191   N   00000b4e   fefff06f   00000b50   x17_a7     0000130d
             192   N   00000b50   00004505   00000b3e   ---        --------
             197   N   00000b3e   00079463   00000b42   x15_a5     00000072
             198   N   00000b42   0008006f   00000b4a   ---        --------
             203   N   00000b4a   00000885   00000b4e   ---        --------
             204   N   00000b4e   fefff06f   00000b50   x17_a7     0000130e
             205   N   00000b50   00004505   00000b3e   ---        --------
             210   N   00000b3e   00079463   00000b42   x15_a5     00000063
             211   N   00000b42   0008006f   00000b4a   ---        --------
             216   N   00000b4a   00000885   00000b4e   ---        --------
             217   N   00000b4e   fefff06f   00000b50   x17_a7     0000130f
             218   N   00000b50   00004505   00000b3e   ---        --------
             223   N   00000b3e   00079463   00000b42   x15_a5     00000074
             224   N   00000b42   0008006f   00000b4a   ---        --------
             229   N   00000b4a   00000885   00000b4e   ---        --------
             230   N   00000b4e   fefff06f   00000b50   x17_a7     00001310
             231   N   00000b50   00004505   00000b3e   ---        --------
             236   N   00000b3e   00079463   00000b42   x15_a5     0000006f
             237   N   00000b42   0008006f   00000b4a   ---        --------
             242   N   00000b4a   00000885   00000b4e   ---        --------
             243   N   00000b4e   fefff06f   00000b50   x17_a7     00001311
             244   N   00000b50   00004505   00000b3e   ---        --------
             249   N   00000b3e   00079463   00000b42   x15_a5     0000006e
             250   N   00000b42   0008006f   00000b4a   ---        --------
             255   N   00000b4a   00000885   00000b4e   ---        --------
             256   N   00000b4e   fefff06f   00000b50   x17_a7     00001312
             257   N   00000b50   00004505   00000b3e   ---        --------
             262   N   00000b3e   00079463   00000b42   x15_a5     00000021
             263   N   00000b42   0008006f   00000b4a   ---        --------
             268   N   00000b4a   00000885   00000b4e   ---        --------
             269   N   00000b4e   fefff06f   00000b50   x17_a7     00001313
             270   N   00000b50   00004505   00000b3e   ---        --------
             275   N   00000b3e   00079463   00000b42   x15_a5     00000000
             276   N   00000b42   0008006f   00000b46   ---        --------
             278   N   00000b46   00072023   00001740   ---        --------
             281   N   00001740   9b428293   00001744   x05_t0     00000740
             282   N   00001744   00008282   00001748   x05_t0     000000f4
             283   N   00001748   00000013   000000f4   ---        --------
             286   N   000000f4   0000006f   000000f8   ---        --------
             287   N   000000f8   ffffffff   000000f8   ---        --------
